,root:Host-associated,Unknown
ERR1384230,0.9929764,0.007023573
SRR6411577,0.9929764,0.007023573
ERR494400,0.9929764,0.007023573
SRR1461231,0.9929764,0.007023573
SRR920622,0.9929764,0.007023573
ERR500258,0.9929764,0.007023573
ERR1310760,0.9929764,0.007023573
ERR1109583,0.9929764,0.007023573
DRR047361,0.9929764,0.007023573
SRR8356215,0.9929764,0.007023573
SRR6367328,0.9929764,0.007023573
SRR6054622,0.9929764,0.007023573
SRR3037215,0.9929764,0.007023573
SRR996932,0.9929764,0.007023573
SRR7453742,0.9929764,0.007023573
SRR1461485,0.9929764,0.007023573
ERR1310288,0.9929764,0.007023573
DRR048250,0.9929764,0.007023573
ERR1309914,0.9929764,0.007023573
SRR505154,0.9929764,0.007023573
SRR388004,0.9929764,0.007023573
ERR2011912,0.9929764,0.007023573
SRR1461057,0.9929764,0.007023573
SRR1949296,0.9929764,0.007023573
ERR561465,0.9929764,0.007023573
SRR2658802,0.9929764,0.007023573
ERR1987753,0.9929764,0.007023573
ERR1328339,0.9929764,0.007023573
SRR995640,0.9929764,0.007023573
ERR2002215,0.9929764,0.007023573
ERR2738824,0.9929764,0.007023573
DRR047923,0.9929764,0.007023573
ERR1310905,0.9929764,0.007023573
ERR522540,0.9929764,0.007023573
DRR044049,0.9929763,0.007023692
SRR1949299,0.9929764,0.007023573
SRR2143942,0.9929764,0.007023573
SRR6414039,0.9929764,0.007023573
ERR500918,0.9929764,0.007023573
ERR531974,0.9929764,0.007023573
SRR7453269,0.9929764,0.007023573
SRR5983390,0.9929764,0.007023573
SRR3201957,0.9929764,0.007023573
SRR3034973,0.9929764,0.007023573
ERR866499,0.9929764,0.007023573
ERR2286300,0.9929764,0.007023573
SRR7448972,0.9929764,0.007023573
SRR2143832,0.9929764,0.007023573
ERR2738984,0.9929764,0.007023573
ERR500695,0.9929764,0.007023573
ERR1310042,0.9929764,0.007023573
DRR047468,0.9929764,0.007023573
SRR3037268,0.9929764,0.007023573
ERR441622,0.9929764,0.007023573
ERR532054,0.9929764,0.007023573
ERR1331853,0.9929764,0.007023573
ERR500172,0.9929764,0.007023573
SRR6394192,0.9929763,0.007023692
DRR029190,0.99297637,0.0070236325
SRR6414298,0.9929764,0.007023573
ERR2042071,0.9929764,0.007023573
SRR1949004,0.9929764,0.007023573
SRR6444836,0.9929764,0.007023573
SRR5141877,0.9929764,0.007023573
ERR867419,0.9929764,0.007023573
SRR2010309,0.9929764,0.007023573
ERR2003307,0.9929764,0.007023573
DRR043133,0.9929763,0.007023692
SRR3503277,0.9929764,0.007023573
ERR500674,0.9929764,0.007023573
SRR6393974,0.9929764,0.007023573
SRR3094702,0.9929764,0.007023573
ERR2511325,0.9929764,0.007023573
SRR2163505,0.9929764,0.007023573
ERR501354,0.9929764,0.007023573
ERR1913047,0.9929764,0.007023573
ERR1811303,0.9929764,0.007023573
DRR042783,0.9929764,0.007023573
ERR1311484,0.9929764,0.007023573
ERR1310666,0.9929764,0.007023573
ERR579512,0.9929764,0.007023573
ERR1383166,0.9929764,0.007023573
ERR441110,0.9929764,0.007023573
SRR7448689,0.9929764,0.007023573
ERR139258,0.9929764,0.007023573
SRR3931558,0.9929764,0.007023573
ERR2511593,0.9929764,0.007023573
ERR1383102,0.9929764,0.007023573
SRR505230,0.9929764,0.007023573
DRR047427,0.9929763,0.007023692
ERR2784723,0.9929764,0.007023573
SRR6931830,0.9929764,0.007023573
SRR1461078,0.9929764,0.007023573
SRR1630957,0.9929764,0.007023573
ERR695606,0.9929764,0.007023573
ERR522462,0.9929764,0.007023573
SRR5155798,0.9929764,0.007023573
SRR7448920,0.9929764,0.007023573
SRR2144030,0.9929764,0.007023573
SRR6444480,0.9929764,0.007023573
ERR1913199,0.9929764,0.007023573
SRR6443847,0.9929764,0.007023573
SRR1618250,0.9929764,0.007023573
SRR6028318,0.9929764,0.007023573
SRR7453819,0.9929764,0.007023573
SRR1461459,0.9929764,0.007023573
ERR1811214,0.9929764,0.007023573
ERR498713,0.9929764,0.007023573
ERR2738987,0.9929764,0.007023573
SRR5165824,0.9929764,0.007023573
ERR579501,0.9929764,0.007023573
ERR500879,0.9929764,0.007023573
DRR024108,0.9929763,0.007023692
SRR1631480,0.9929764,0.007023573
ERR520729,0.9929764,0.007023573
ERR1315210,0.9929764,0.007023573
SRR3951037,0.9929764,0.007023573
SRR6265285,0.9929764,0.007023573
ERR1385021,0.9929764,0.007023573
ERR867436,0.9929764,0.007023573
ERR1611394,0.9929764,0.007023573
ERR1382735,0.9929764,0.007023573
ERR1310547,0.9929764,0.007023573
SRR3419411,0.9929764,0.007023573
SRR997038,0.9929764,0.007023573
ERR1313492,0.9929764,0.007023573
SRR994804,0.9929764,0.007023573
SRR6264643,0.9929764,0.007023573
DRR029267,0.99297583,0.007024169
SRR6394153,0.9929764,0.007023573
SRR995506,0.9929764,0.007023573
SRR3419366,0.9929764,0.007023573
ERR501282,0.9929764,0.007023573
SRR2761294,0.9929764,0.007023573
SRR3191024,0.9929764,0.007023573
ERR365969,0.9929764,0.007023573
SRR1461226,0.9929764,0.007023573
ERR501144,0.9929764,0.007023573
ERR1311142,0.9929764,0.007023573
SRR995901,0.9929764,0.007023573
ERR1383928,0.9929764,0.007023573
ERR500713,0.9929764,0.007023573
SRR5155984,0.9929764,0.007023573
ERR2042052,0.9929764,0.007023573
ERR1913115,0.9929764,0.007023573
ERR531946,0.9929764,0.007023573
DRR044293,0.9929764,0.007023573
ERR368919,0.9929764,0.007023573
SRR1461662,0.9929764,0.007023573
ERR498597,0.9929764,0.007023573
ERR2511214,0.9929764,0.007023573
ERR1111210,0.9929764,0.007023573
SRR6443878,0.9929764,0.007023573
ERR365880,0.9929764,0.007023573
SRR387968,0.9929764,0.007023573
SRR5868844,0.9929764,0.007023573
SRR3951014,0.9929764,0.007023573
SRR3095195,0.9929764,0.007023573
ERR1311616,0.9929764,0.007023573
SRR6931187,0.9929764,0.007023573
SRR1922921,0.9929764,0.007023573
SRR5468004,0.9929764,0.007023573
ERR1315189,0.9929764,0.007023573
SRR3419454,0.9929764,0.007023573
ERR1311026,0.9929764,0.007023573
ERR501269,0.9929764,0.007023573
SRR3094862,0.9929764,0.007023573
SRR388111,0.9929764,0.007023573
ERR209306,0.9929764,0.007023573
SRR1948943,0.9929764,0.007023573
ERR2511829,0.9929764,0.007023573
ERR866541,0.9929764,0.007023573
ERR1383880,0.9929764,0.007023573
SRR2154938,0.9929764,0.007023573
SRR6465742,0.9929764,0.007023573
ERR1398117,0.9929764,0.007023573
SRR1949003,0.9929764,0.007023573
ERR501347,0.9929764,0.007023573
ERR1297847,0.9929764,0.007023573
ERR2531918,0.9929764,0.007023573
SRR3030631,0.9929764,0.007023573
SRR6411650,0.9929764,0.007023573
SRR6444101,0.9929764,0.007023573
SRR2010484,0.9929764,0.007023573
ERR526086,0.9929764,0.007023573
ERR444016,0.9929764,0.007023573
DRR014335,0.9929764,0.007023573
SRR6038464,0.9929764,0.007023573
ERR1383664,0.9929764,0.007023573
SRR6394174,0.9929764,0.007023573
SRR6411738,0.9929764,0.007023573
SRR3191027,0.9929764,0.007023573
SRR6264119,0.9929764,0.007023573
SRR7454171,0.9929764,0.007023573
SRR6931722,0.9929764,0.007023573
SRR7449494,0.9929764,0.007023573
SRR3503240,0.9929764,0.007023573
SRR6444295,0.9929764,0.007023573
SRR3030586,0.9929764,0.007023573
SRR3201938,0.9929764,0.007023573
SRR1949243,0.9929764,0.007023573
SRR996701,0.9929764,0.007023573
ERR1311244,0.9929764,0.007023573
ERR2784677,0.9929764,0.007023573
SRR3581133,0.9929764,0.007023573
ERR579388,0.9929764,0.007023573
SRR6414212,0.9929764,0.007023573
ERR522510,0.9929764,0.007023573
ERR441219,0.9929764,0.007023573
ERR500230,0.9929764,0.007023573
SRR1175848,0.9929764,0.007023573
SRR5699302,0.9929764,0.007023573
DRR043826,0.9929764,0.007023573
DRR047528,0.9929764,0.007023573
SRR7453768,0.9929764,0.007023573
ERR443640,0.9929764,0.007023573
SRR3362171,0.9929764,0.007023573
SRR5831886,0.9929763,0.007023692
DRR042901,0.9929764,0.007023573
DRR044328,0.9929764,0.007023573
ERR1385345,0.9929764,0.007023573
ERR883611,0.9929764,0.007023573
SRR995690,0.9929764,0.007023573
ERR2511011,0.9929764,0.007023573
SRR6408607,0.9929764,0.007023573
SRR3094721,0.9929764,0.007023573
ERR139182,0.9929764,0.007023573
SRR1923883,0.9929764,0.007023573
DRR043758,0.9929764,0.007023573
ERR1382441,0.9929764,0.007023573
SRR408535,0.9929764,0.007023573
ERR2011938,0.9929764,0.007023573
SRR3214680,0.9929764,0.007023573
ERR1384486,0.9929764,0.007023573
ERR1398194,0.9929764,0.007023573
ERR1382438,0.9929764,0.007023573
SRR6038558,0.9929764,0.007023573
ERR1111273,0.9929764,0.007023573
ERR1315457,0.9929764,0.007023573
ERR2249133,0.9929764,0.007023573
SRR6414363,0.9929764,0.007023573
SRR2143750,0.9929764,0.007023573
SRR7448804,0.9929764,0.007023573
SRR6409050,0.9929764,0.007023573
SRR6412070,0.9929764,0.007023573
SRR7449144,0.9929764,0.007023573
DRR047962,0.9929764,0.007023573
SRR5869330,0.9929764,0.007023573
ERR498768,0.9929764,0.007023573
SRR6931150,0.9929764,0.007023573
SRR2658154,0.9929764,0.007023573
ERR443783,0.9929764,0.007023573
DRR042859,0.9929764,0.007023573
SRR5971047,0.9929763,0.007023692
ERR444405,0.9929764,0.007023573
SRR996561,0.9929764,0.007023573
SRR5467912,0.9929764,0.007023573
SRR994540,0.9929764,0.007023573
ERR2510962,0.9929764,0.007023573
DRR041964,0.9929764,0.007023573
ERR500915,0.9929764,0.007023573
ERR2003268,0.9929764,0.007023573
SRR5467848,0.9929763,0.007023692
ERR1310144,0.9929764,0.007023573
ERR522303,0.9929764,0.007023573
ERR441715,0.9929764,0.007023573
ERR866719,0.9929764,0.007023573
ERR209671,0.9929764,0.007023573
ERR531978,0.9929764,0.007023573
ERR500540,0.9929764,0.007023573
SRR7454188,0.9929764,0.007023573
ERR2011911,0.9929764,0.007023573
SRR6932371,0.9929764,0.007023573
ERR2511166,0.9929764,0.007023573
ERR1760056,0.9929764,0.007023573
SRR3503388,0.9929764,0.007023573
ERR2286292,0.9929764,0.007023573
ERR560757,0.9929764,0.007023573
SRR6264795,0.9929764,0.007023573
SRR5467907,0.9929764,0.007023573
ERR1913127,0.9929764,0.007023573
ERR1311535,0.9929764,0.007023573
SRR6931497,0.9929764,0.007023573
ERR531794,0.9929764,0.007023573
ERR500210,0.9929764,0.007023573
SRR6409260,0.9929764,0.007023573
ERR209111,0.9929764,0.007023573
SRR3037198,0.9929764,0.007023573
ERR443763,0.9929764,0.007023573
ERR526061,0.9929764,0.007023573
DRR050872,0.9929764,0.007023573
DRR060280,0.9929764,0.007023573
SRR5467796,0.9929764,0.007023573
DRR047623,0.9929764,0.007023573
ERR1297657,0.9929764,0.007023573
ERR883497,0.9929764,0.007023573
SRR6932440,0.9929764,0.007023573
SRR995324,0.9929764,0.007023573
ERR451087,0.9929764,0.007023573
ERR1315412,0.9929764,0.007023573
SRR1631393,0.9929764,0.007023573
ERR2730290,0.9929764,0.007023573
SRR7453976,0.9929764,0.007023573
ERR2003303,0.9929764,0.007023573
SRR5831859,0.9929762,0.0070238113
SRR6931506,0.9929764,0.007023573
SRR5165712,0.9929764,0.007023573
SRR5156129,0.9929764,0.007023573
ERR720083,0.9929764,0.007023573
SRR6054477,0.9929764,0.007023573
ERR2738707,0.9929764,0.007023573
SRR6394252,0.9929764,0.007023573
SRR5699291,0.9929764,0.007023573
SRR3053538,0.9929764,0.007023573
SRR5520117,0.9929764,0.007023573
ERR498843,0.9929764,0.007023573
ERR2784752,0.9929764,0.007023573
ERR2003091,0.9929764,0.007023573
SRR5165809,0.9929764,0.007023573
