,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525692,0.09856832,0.1244799,0.77695173,0.0
ERR525767,0.09462387,0.12765628,0.77771986,0.0
ERR525804,0.09832581,0.12464783,0.77702636,0.0
ERR525823,0.098271586,0.12469095,0.77703744,0.0
ERR525931,0.072460756,0.14892185,0.7786174,0.0
ERR526011,0.1996181,0.6092446,0.0834479,0.10768938
ERR526015,0.09579968,0.12718235,0.777018,0.0
ERR526027,0.097876966,0.1250055,0.77711755,0.0
ERR526067,0.09512625,0.12723874,0.77763504,0.0
ERR525773,0.51267165,0.45287415,0.034454174,0.0
ERR525797,0.1345182,0.6238961,0.12283766,0.11874801
ERR525833,0.10817766,0.65415895,0.11174011,0.12592328
ERR525853,0.10741401,0.65510947,0.11139959,0.12607694
ERR525861,0.105798095,0.7362764,0.088058114,0.06986737
ERR525891,0.57684785,0.39588892,0.027263265,0.0
ERR525905,0.10977939,0.6534562,0.11038664,0.12637782
ERR526065,0.16811773,0.26102686,0.57085544,0.0
ERR525946,0.09884696,0.12546746,0.7756856,0.0
ERR526021,0.16490117,0.5911843,0.13505441,0.108860075
ERR525762,0.13479745,0.71647704,0.09893194,0.0497936
ERR525770,0.48389554,0.44477326,0.071331255,0.0
ERR525782,0.75742525,0.21934006,0.023234779,0.0
ERR525786,0.17882755,0.30890957,0.45056695,0.061695933
ERR525838,0.7114322,0.2674197,0.021148084,0.0
ERR525862,0.6769778,0.30502683,0.017995315,0.0
ERR525874,0.7258895,0.25338817,0.020722248,0.0
ERR525998,0.7332068,0.24576287,0.021030324,0.0
ERR525814,0.7083869,0.2715206,0.020092476,0.0
ERR526062,0.75742406,0.21934116,0.023234705,0.0
