,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR309503,0.0006563346,0.0018355526,0.0025879096,0.00034117003,0.0024779842,0.0021839251,0.0005237984,2.9577375e-05,0.0067696776,0.9770109,0.004906053,0.00067708583,0.0
ERR308818,0.00066621695,0.0018195688,0.0025694026,0.00033455624,0.002381161,0.0021192306,0.00051224953,2.9519262e-05,0.006681463,0.9775575,0.004670048,0.0006591553,0.0
ERR308935,0.00065594044,0.0017663051,0.0024932122,0.0003250872,0.0023435906,0.0020831127,0.00051607663,2.972255e-05,0.0065540224,0.9779613,0.0046357303,0.0006359219,0.0
ERR309783,0.000656269,0.0017673285,0.0024952712,0.00032542902,0.002345271,0.0020855428,0.00051602646,2.9728139e-05,0.0065578707,0.97794306,0.004640956,0.00063719746,0.0
ERR308911,0.0006561519,0.001768346,0.0024969075,0.0003256219,0.002348067,0.0020879363,0.0005159154,2.971999e-05,0.006562702,0.9779245,0.004645456,0.00063861866,0.0
ERR308908,0.0006562245,0.0017669243,0.0024944395,0.00032519968,0.0023440812,0.0020843768,0.0005161562,2.9728204e-05,0.0065568336,0.97795165,0.0046379543,0.00063644286,0.0
ERR309746,0.0006559403,0.0017663048,0.002493212,0.00032508714,0.0023435904,0.0020831125,0.00051610614,2.9722547e-05,0.0065541104,0.9779612,0.00463573,0.0006359218,0.0
ERR309700,0.00065599935,0.0017663045,0.0024932707,0.00032508708,0.0023435897,0.0020831712,0.0005160469,2.9722765e-05,0.0065541384,0.977961,0.0046356693,0.00063592166,0.0
ERR309073,0.0006559403,0.0017663048,0.002493212,0.00032508714,0.0023435904,0.0020831125,0.00051610614,2.9722547e-05,0.0065541104,0.9779612,0.00463573,0.0006359218,0.0
ERR309303,0.0006557506,0.0017697581,0.0025021706,0.000326131,0.0023526312,0.0020916613,0.00051519886,2.9674839e-05,0.0065646614,0.9779085,0.0046423185,0.0006415595,0.0
ERR308999,0.0003935313,0.0011886046,0.00069520704,0.000702832,0.0007646328,0.98923516,0.0019383732,0.0027996087,0.0007165095,0.0007524684,0.0003229188,0.000490134,0.0
ERR309432,0.00065602764,0.0017663898,0.0024933545,0.00032517518,0.0023436444,0.0020832855,0.00051610504,2.9724468e-05,0.006554806,0.9779594,0.004635986,0.00063600915,0.0
ERR309048,0.0006555331,0.0017675533,0.0024965904,0.00032538638,0.0023486067,0.0020869968,0.0005155031,2.970946e-05,0.0065611852,0.9779338,0.0046403264,0.00063876854,0.0
ERR308781,0.0006559994,0.0017663046,0.0024933005,0.00032505754,0.0023435901,0.0020831714,0.0005160765,2.9722827e-05,0.00655411,0.97796106,0.0046357294,0.0006359513,0.0
ERR309207,0.00011010348,0.0030064178,0.0012223893,0.00020229959,0.0017141294,0.9308449,0.0050542275,0.0003851148,0.0016635981,0.050685134,0.004879859,0.0002317737,0.0
ERR309314,0.00065594027,0.0017663046,0.0024932118,0.0003250871,0.0023435901,0.0020831123,0.0005160765,2.9722629e-05,0.006554169,0.9779611,0.0046356996,0.0006359513,0.0
ERR309536,0.0006559107,0.0017663046,0.0024932413,0.00032505754,0.0023435901,0.0020831714,0.0005160765,2.9722543e-05,0.00655411,0.9779611,0.0046356996,0.0006359513,0.0
ERR308397,0.0006560569,0.0017664481,0.002493442,0.000325175,0.0023435843,0.0020833141,0.0005161048,2.9724795e-05,0.0065548625,0.9779593,0.0046360726,0.0006359793,0.0
ERR308575,0.00065617077,0.0017667318,0.0024938392,0.00032517282,0.0023437755,0.0020837733,0.0005161309,2.9727202e-05,0.00655677,0.97795486,0.00463681,0.0006362411,0.0
ERR308590,0.0006559403,0.0017663048,0.002493212,0.00032508714,0.0023435904,0.0020831125,0.00051610614,2.9722547e-05,0.0065541104,0.97796124,0.0046356115,0.0006358922,0.0
ERR308354,0.0006559403,0.0017663048,0.002493212,0.00032508714,0.0023435904,0.0020831125,0.0005160766,2.9722547e-05,0.0065541104,0.97796124,0.0046357,0.0006358922,0.0
ERR308942,0.0006563669,0.0017671757,0.0024949512,0.0003252857,0.0023442393,0.002084803,0.00051615195,2.973187e-05,0.0065578735,0.9779478,0.0046389215,0.0006367037,0.0
ERR308790,0.00065591023,0.0017663034,0.0024932395,0.00032511645,0.0023436474,0.0020831404,0.00051607616,2.9723005e-05,0.0065541347,0.9779608,0.0046358737,0.0006359804,0.0
ERR308326,0.0006559982,0.0017663309,0.0024933845,0.00032505693,0.002343704,0.0020832857,0.00051613466,2.972399e-05,0.006554659,0.97795975,0.004636016,0.00063597964,0.0
ERR308449,0.0006569001,0.0017744551,0.002510752,0.00032740072,0.0023627772,0.0021014418,0.0005155763,2.9730318e-05,0.006587121,0.97781646,0.004670633,0.0006467908,0.0
ERR308629,0.0006537566,0.0017931939,0.002441626,0.0003173978,0.0024090284,0.0021410002,0.00050691946,3.142054e-05,0.006418564,0.97801214,0.004637557,0.00063730986,0.0
ERR309798,0.00065637083,0.0017671864,0.0024948183,0.00032528766,0.002344017,0.0020846678,0.00051612547,2.972944e-05,0.006557144,0.9779494,0.004638742,0.0006365301,0.0
ERR308402,0.0006559994,0.0017663046,0.0024932413,0.0003250871,0.0023435901,0.0020831714,0.0005160765,2.9722798e-05,0.00655411,0.97796106,0.0046357294,0.0006359513,0.0
ERR308325,0.00065596873,0.0017663313,0.0024933259,0.00032511615,0.0023435566,0.0020832862,0.00051607564,2.9723855e-05,0.006554513,0.9779601,0.004636017,0.0006360094,0.0
ERR308596,0.00065596896,0.001766332,0.0024932972,0.0003250571,0.0023436167,0.002083228,0.000516135,2.9723044e-05,0.006554456,0.97796,0.004636078,0.0006360096,0.0
ERR1598805,0.00039370873,0.0011887808,0.0006953543,0.0007031573,0.0007646316,0.9892354,0.0019370944,0.0028009394,0.0007161227,0.0007518146,0.0003228293,0.0004901926,0.0
ERR1598748,0.00039370873,0.0011888698,0.00069529493,0.0007031573,0.0007646316,0.9892354,0.0019370944,0.0028009394,0.000716093,0.0007518146,0.0003228293,0.0004901926,0.0
ERR1599437,0.00039370867,0.0011888103,0.0006952949,0.00070315716,0.0007646315,0.98923534,0.0019372129,0.0028009391,0.0007160929,0.00075181446,0.00032282926,0.00049019256,0.0
ERR1599044,0.00039370867,0.0011888103,0.0006952949,0.00070318684,0.0007646315,0.98923534,0.0019371535,0.0028009985,0.0007160929,0.00075181446,0.00032282926,0.0004902222,0.0
ERR1598376,0.00039376787,0.0011888692,0.00069535396,0.0007031866,0.00076463126,0.989235,0.0019371528,0.0028009382,0.00071612233,0.00075187354,0.00032282915,0.0004901924,0.0
ERR1598997,0.00039370873,0.0011888104,0.00069529493,0.0007031276,0.0007646909,0.9892352,0.0019370648,0.002801147,0.000716093,0.0007518739,0.0003228293,0.0004901629,0.0
ERR1598222,0.00039370867,0.0011888697,0.0006952949,0.00070318684,0.00076469086,0.9892353,0.0019371535,0.0028009687,0.00071606325,0.00075184414,0.00032276992,0.00049019256,0.0
ERR1598378,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598315,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1599278,0.00022155617,0.001362907,0.0010630307,0.00043596537,0.0016599958,0.98384285,0.0015084265,0.004517658,0.0008489181,0.0020005892,0.0018651228,0.000673061,0.0
ERR1598168,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1599219,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598319,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
