,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR479495,0.07955721,0.5742458,0.106119424,0.07433714,0.16574039,0.0
ERR480981,0.091387436,0.56171024,0.12181697,0.08110392,0.14398138,0.0
ERR479444,0.049119413,0.12245071,0.65412086,0.06690094,0.089999765,0.017408252
ERR475579,0.048140228,0.12099168,0.6510147,0.06408581,0.09050813,0.025259495
ERR480526,0.08842051,0.16966444,0.065600745,0.08683342,0.58948094,0.0
ERR479496,0.07980524,0.5579334,0.10718782,0.08073942,0.17433402,0.0
ERR479468,0.08232102,0.15229948,0.18553692,0.46361405,0.11622853,0.0
ERR479078,0.38003948,0.15155078,0.27456567,0.04894583,0.1448983,0.0
ERR480976,0.03678924,0.28739136,0.08149907,0.25055897,0.31200063,0.031760693
ERR480642,0.048071712,0.121292144,0.6504471,0.06407258,0.090714455,0.02540207
ERR479220,0.03651814,0.2200881,0.12135468,0.09552954,0.5265096,0.0
ERR479486,0.07931627,0.5709763,0.104663365,0.0771407,0.16790341,0.0
ERR480969,0.05322236,0.1270516,0.64849895,0.08517165,0.08605541,0.0
ERR479237,0.03038198,0.17412077,0.11465754,0.11713628,0.5637035,0.0
ERR479545,0.07987503,0.57231903,0.10930698,0.07464989,0.16384901,0.0
ERR480961,0.0795443,0.5616032,0.10225297,0.083805606,0.17279398,0.0
ERR479445,0.04893574,0.12217817,0.6535436,0.06636864,0.09009394,0.01887989
ERR481014,0.0518004,0.46625906,0.042773724,0.16485323,0.2743135,0.0
ERR479180,0.07157389,0.17586489,0.15708184,0.4594462,0.13603325,0.0
ERR480480,0.029864093,0.17124416,0.111643426,0.12018076,0.56706756,0.0
ERR479145,0.08377749,0.1607427,0.18130358,0.4588918,0.11528433,0.0
ERR479356,0.030139716,0.1736097,0.111580074,0.11916239,0.5655081,0.0
ERR481052,0.03962171,0.2978257,0.090301245,0.22573197,0.2901181,0.056401253
ERR480744,0.07709841,0.56821305,0.098700605,0.0806181,0.17536986,0.0
ERR481031,0.05674198,0.13044941,0.63505834,0.09471145,0.08303878,0.0
ERR481021,0.03307583,0.2038487,0.1047735,0.1138715,0.54443043,0.0
ERR480773,0.029981691,0.17176263,0.11246507,0.1194767,0.566314,0.0
ERR480671,0.08434199,0.13863008,0.20092559,0.4673043,0.108798064,0.0
ERR479531,0.037285488,0.07244102,0.642261,0.025570057,0.22244227,0.0
ERR479530,0.041470535,0.08265947,0.66507083,0.033698462,0.17710072,0.0
ERR480958,0.03371713,0.21591203,0.098805286,0.12526505,0.5263005,0.0
ERR481023,0.04118362,0.26836333,0.109387875,0.08145599,0.49960917,0.0
ERR481017,0.055053078,0.48059627,0.04919229,0.158101,0.25705734,0.0
ERR479166,0.035396606,0.27215248,0.08287701,0.25682694,0.31449592,0.038251042
ERR480948,0.06802173,0.4922146,0.09945022,0.06369662,0.2766168,0.0
ERR480507,0.035487533,0.27312702,0.082737714,0.25622916,0.31482714,0.037591398
ERR480865,0.048277885,0.12114304,0.64981955,0.064291656,0.09049654,0.025971353
ERR479562,0.15851605,0.34983274,0.2688075,0.1549471,0.06789666,0.0
ERR480848,0.07490161,0.53533393,0.0867451,0.11149019,0.19152915,0.0
ERR480552,0.07706267,0.56775117,0.098675415,0.082119964,0.17439069,0.0
ERR480856,0.06359616,0.51942205,0.065609425,0.1192708,0.23210163,0.0
ERR479549,0.054140292,0.46825495,0.042809118,0.1887207,0.24607494,0.0
ERR479440,0.062076386,0.38099486,0.062265012,0.30406132,0.19060247,0.0
ERR481043,0.053463083,0.46816993,0.042306628,0.18361808,0.2524422,0.0
ERR480970,0.050962448,0.1251482,0.65559435,0.07427579,0.08988851,0.004130721
ERR480886,0.06510808,0.41540623,0.13487144,0.03054245,0.35407177,0.0
ERR475580,0.035397917,0.2721551,0.082870066,0.25683695,0.31449646,0.038243473
ERR480946,0.07941309,0.5712302,0.10461545,0.07738226,0.16735901,0.0
ERR479285,0.08583409,0.5402577,0.12086002,0.07747706,0.17557119,0.0
ERR479432,0.04815361,0.1210112,0.65105915,0.06412345,0.09050226,0.025150359
ERR479072,0.029871192,0.17131451,0.111624524,0.1201572,0.5670325,0.0
ERR480481,0.029864106,0.17124452,0.11164331,0.12018116,0.5670669,0.0
ERR475509,0.035397917,0.2721551,0.082870066,0.25683695,0.31449646,0.038243473
ERR481042,0.05343653,0.4693469,0.0422044,0.18579154,0.2492206,0.0
ERR479475,0.053486597,0.1278962,0.6495172,0.083130635,0.08596938,0.0
ERR480520,0.076866046,0.56873065,0.16010019,0.07875532,0.11554785,0.0
ERR479077,0.38000387,0.15166149,0.2744748,0.048951216,0.14490867,0.0
ERR475527,0.04477739,0.22059262,0.25543198,0.04553416,0.43366385,0.0
ERR479503,0.048833042,0.122023016,0.6531324,0.066090256,0.09019393,0.019727409
ERR479522,0.056470577,0.47517428,0.0503746,0.16800116,0.24997944,0.0
ERR480931,0.04683125,0.13546413,0.61714715,0.06707358,0.099327594,0.034156322
ERR481053,0.037448376,0.2745607,0.094255835,0.23094052,0.2947113,0.06808329
ERR480748,0.04316431,0.08614666,0.71968114,0.12153087,0.029476993,0.0
ERR479558,0.04691326,0.35921705,0.06337578,0.074850425,0.4556435,0.0
