,root:Host-associated:Birds:Digestive_system:Ceca,root:Host-associated:Human:Digestive_system:Large_intestine,root:Host-associated:Human:Digestive_system:Oral,root:Host-associated:Human:Reproductive_system:Female,root:Host-associated:Human:Reproductive_system:Vagina,root:Host-associated:Human:Respiratory_system:Nasopharyngeal,root:Host-associated:Mammals:Digestive_system:Fecal,root:Host-associated:Mammals:Digestive_system:Stomach,Unknown
ERR308338,0.12936749,0.011184063,0.0044151614,0.001746762,0.010570467,0.0024973974,0.8079109,0.032307737,0.0
ERR308421,0.1294173,0.01117539,0.0044075525,0.0017506602,0.010573573,0.0024944546,0.80793077,0.032250278,0.0
ERR308615,0.12941797,0.011175365,0.0044074636,0.0017507887,0.010573524,0.0024944756,0.80793035,0.03225002,0.0
ERR308982,0.12994213,0.011199202,0.004429331,0.0017427262,0.010562705,0.0025009862,0.8070583,0.032564674,0.0
ERR309416,0.12941897,0.011175345,0.0044074813,0.0017507324,0.010573583,0.0024944444,0.80792904,0.032250438,0.0
ERR309710,0.12941834,0.011175332,0.004407487,0.0017507875,0.01057357,0.0024944209,0.8079302,0.03224995,0.0
ERR308247,0.12940249,0.011177658,0.0044081775,0.0017502322,0.010572913,0.002494841,0.8079395,0.03225416,0.0
ERR308341,0.12941802,0.011175369,0.004407412,0.0017507363,0.010573501,0.0024944763,0.80793047,0.032250006,0.0
ERR308803,0.12883882,0.01074725,0.004763856,0.0016535228,0.011255766,0.0026056804,0.8063179,0.033817198,0.0
ERR309704,0.123036176,0.012708311,0.0036620067,0.001827507,0.0111396415,0.0020789981,0.8135375,0.032009996,0.0
ERR308971,0.13548797,0.01557076,0.002842784,0.0017346442,0.011170149,0.0020038486,0.75605786,0.011601865,0.06353009
ERR309291,0.12936044,0.010997148,0.0045114486,0.0017094977,0.010836412,0.0025509533,0.8075737,0.032460377,0.0
ERR308355,0.12941785,0.01117529,0.0044075176,0.0017507892,0.01057358,0.0024944763,0.80793005,0.0322504,0.0
ERR308603,0.0007355213,0.9897616,0.0016317666,0.0021328032,0.0013061166,0.00044623017,0.0009300411,0.0006583631,0.0023975968
ERR309541,0.12912084,0.011220853,0.004412206,0.0017446408,0.010535864,0.0024944704,0.80813664,0.032334432,0.0
ERR308661,0.12941805,0.011175336,0.004407595,0.0017507089,0.010573734,0.002494528,0.80792964,0.032250438,0.0
ERR309773,0.12931423,0.011190198,0.004411101,0.0017482062,0.010557885,0.0024952325,0.8079967,0.032286484,0.0
ERR309502,0.12941559,0.011175954,0.004407831,0.0017505597,0.010573182,0.002494568,0.8079289,0.032253448,0.0
ERR309167,0.12942281,0.01117539,0.0044076857,0.0017507453,0.010573607,0.0024944514,0.80792296,0.03225233,0.0
ERR309820,0.12941761,0.011175559,0.0044074715,0.00175067,0.010573395,0.002494442,0.80793166,0.032249108,0.0
ERR309300,0.12934919,0.011185693,0.0044092275,0.0017490675,0.010565484,0.002495128,0.8079814,0.032264855,0.0
ERR308359,0.004419774,0.59937155,0.00792858,0.0001322627,0.012721121,0.0035919845,0.12137303,0.0036212206,0.24684048
ERR309549,0.124881856,0.011854789,0.004560992,0.0016422811,0.009901285,0.0025308912,0.8107882,0.033839744,0.0
ERR309829,0.1294187,0.011175233,0.0044075265,0.0017507398,0.0105737075,0.0024945077,0.80793023,0.032249384,0.0
ERR309826,0.12858492,0.011312036,0.0044314414,0.0017282948,0.01051604,0.0025085688,0.8084923,0.032426387,0.0
ERR308764,0.12910382,0.010997515,0.004541809,0.0017046441,0.010849033,0.0025500979,0.8075508,0.0327023,0.0
ERR309105,0.12901495,0.011237382,0.004413279,0.0017422363,0.010542693,0.0024985622,0.80827314,0.03227777,0.0
ERR308778,0.12952118,0.011178551,0.0044117304,0.0017494281,0.010572439,0.0024954781,0.8077614,0.03230988,0.0
ERR309449,0.12919432,0.011211856,0.004397337,0.0017496808,0.010569039,0.0024877659,0.80810064,0.032289308,0.0
ERR309264,0.12935592,0.011184719,0.0044093104,0.0017492861,0.010564545,0.0024948881,0.80797505,0.03226637,0.0
ERR308841,0.12941797,0.011175365,0.0044074636,0.0017507887,0.010573576,0.0024944225,0.8079303,0.032250073,0.0
ERR308991,0.12932439,0.011201082,0.004402037,0.0017494904,0.01058002,0.0024944935,0.8080744,0.032174177,0.0
ERR309136,0.12941863,0.011175351,0.004407484,0.0017507335,0.010573537,0.0024944458,0.8079296,0.032250218,0.0
ERR308939,0.12938583,0.011180225,0.0044085286,0.0017499485,0.010568594,0.0024947268,0.8079533,0.03225878,0.0
ERR308695,0.12938796,0.0111797,0.0044085733,0.0017500565,0.0105690295,0.0024946393,0.8079492,0.03226093,0.0
ERR309409,0.12941729,0.011175554,0.004407486,0.0017507181,0.010573472,0.0024944616,0.8079314,0.032249603,0.0
ERR309498,0.12936817,0.011183864,0.004409284,0.0017493608,0.010566208,0.0024950064,0.80795884,0.032269295,0.0
ERR308454,0.12941666,0.011175213,0.0044077146,0.001750635,0.010573979,0.0024946153,0.8079306,0.032250542,0.0
ERR309302,0.12941842,0.011175277,0.00440746,0.0017507343,0.010573621,0.002494447,0.8079299,0.03225018,0.0
ERR309808,0.12932098,0.011164242,0.0044249455,0.0017459888,0.01059302,0.0024979645,0.807901,0.0323519,0.0
ERR309477,0.12769093,0.011456233,0.004461334,0.0017071657,0.010349975,0.0025142736,0.8090687,0.032751378,0.0
ERR309059,0.12940404,0.011177005,0.0044092187,0.0017498548,0.010572924,0.0024951226,0.8079302,0.032261685,0.0
ERR308437,0.12938891,0.011178429,0.004409029,0.0017501543,0.010570384,0.0024944423,0.8079437,0.032264933,0.0
ERR308677,0.15485507,0.01232627,0.0028791428,0.0017355382,0.010853976,0.0025690496,0.5193019,0.0035395026,0.29193962
ERR309226,0.12963445,0.01119377,0.004423228,0.0017445114,0.010565649,0.002499178,0.8074949,0.032444336,0.0
