,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR479495,0.16990416,0.39619812,0.18243857,0.11811626,0.13334285,0.0
ERR480981,0.16738893,0.39341304,0.16872929,0.13193543,0.13853328,0.0
ERR479444,0.09808214,0.10219411,0.62438524,0.0844079,0.09093062,0.0
ERR475579,0.12855923,0.34285977,0.0937011,0.25034198,0.18453798,0.0
ERR480526,0.106964365,0.13362838,0.28035143,0.037544437,0.44151145,0.0
ERR479496,0.15425831,0.37089592,0.15012707,0.16902255,0.1556962,0.0
ERR479468,0.10048181,0.211512,0.16020477,0.31367302,0.21412839,0.0
ERR479078,0.07835773,0.20930116,0.37478867,0.13567974,0.20187268,0.0
ERR480976,0.1006854,0.23336865,0.2122749,0.24502599,0.20864514,0.0
ERR480642,0.1212617,0.14361331,0.3539556,0.027431317,0.35373807,0.0
ERR479220,0.13857868,0.1597152,0.24722293,0.041545928,0.41293722,0.0
ERR479486,0.15963987,0.36714387,0.14680026,0.17621192,0.15020409,0.0
ERR480969,0.09929758,0.102508605,0.6202594,0.08659567,0.091338776,0.0
ERR479237,0.112164296,0.1325919,0.2828786,0.037804235,0.43456092,0.0
ERR479545,0.16686346,0.38446257,0.17462884,0.13337155,0.14067347,0.0
ERR480961,0.1636784,0.38367555,0.17190138,0.13017453,0.15057015,0.0
ERR479445,0.09808062,0.10219255,0.624392,0.084401935,0.09093298,0.0
ERR481014,0.1606898,0.36531457,0.19793586,0.10286492,0.17319489,0.0
ERR479180,0.16739519,0.27396175,0.16278857,0.26000994,0.1358445,0.0
ERR480480,0.116182536,0.128528,0.35045335,0.030112674,0.37472343,0.0
ERR479145,0.102334075,0.21845652,0.15841189,0.3084818,0.21231568,0.0
ERR479356,0.12296102,0.1659632,0.2443037,0.035505235,0.4312668,0.0
ERR481052,0.13134879,0.3404703,0.10816699,0.23717259,0.18284135,0.0
ERR480744,0.16774285,0.39720953,0.18262082,0.11174404,0.14068276,0.0
ERR481031,0.07055452,0.1516918,0.53172433,0.06668413,0.1793452,0.0
ERR481021,0.07385173,0.20197922,0.2664803,0.23015213,0.22753659,0.0
ERR480773,0.16042288,0.10445431,0.25948513,0.06563368,0.410004,0.0
ERR480671,0.13573587,0.21598637,0.35968676,0.14651614,0.14207485,0.0
ERR479531,0.13154934,0.067345455,0.4967428,0.033973325,0.2703891,0.0
ERR479530,0.10445951,0.06886666,0.5670382,0.037309792,0.22232594,0.0
ERR480958,0.10919885,0.22967237,0.16128537,0.2963822,0.20346127,0.0
ERR481023,0.070727475,0.14107108,0.5407446,0.06410812,0.18334873,0.0
ERR481017,0.2249459,0.26025,0.14166622,0.066180125,0.30695775,0.0
ERR479166,0.121758506,0.14510475,0.3543027,0.02719909,0.3516349,0.0
ERR480948,0.16200995,0.3757549,0.19048436,0.10434741,0.16740337,0.0
ERR480507,0.1187161,0.13580745,0.3522909,0.028722292,0.36446318,0.0
ERR480865,0.09835551,0.11035432,0.60831404,0.08622419,0.09675197,0.0
ERR479562,0.22400182,0.23602185,0.27301192,0.17857169,0.08839269,0.0
ERR480848,0.15864712,0.38186213,0.16588698,0.14193664,0.15166715,0.0
ERR480552,0.16985394,0.40013856,0.17961487,0.114510216,0.13588247,0.0
ERR480856,0.13290086,0.25560966,0.2914539,0.08583764,0.23419794,0.0
ERR479549,0.12424427,0.32274348,0.10475863,0.2588229,0.1894308,0.0
ERR479440,0.10216144,0.21897125,0.16229926,0.30442783,0.21214023,0.0
ERR481043,0.12438019,0.32356712,0.10402907,0.25876242,0.18926115,0.0
ERR480970,0.09917362,0.102998465,0.61459315,0.090008095,0.093226686,0.0
ERR480886,0.16551892,0.35614032,0.19747025,0.08795837,0.19291218,0.0
ERR475580,0.13419966,0.25206026,0.2952443,0.1581706,0.16032517,0.0
ERR480946,0.16072947,0.39069307,0.15934564,0.14268495,0.14654684,0.0
ERR479285,0.19008751,0.3561871,0.2180671,0.12160979,0.11404843,0.0
ERR479432,0.09803875,0.10211115,0.6245366,0.08425804,0.09105556,0.0
ERR479072,0.16462499,0.11015156,0.24943623,0.06656988,0.4092173,0.0
ERR480481,0.12155346,0.14449033,0.3541608,0.02729395,0.35250142,0.0
ERR475509,0.108960345,0.16801207,0.36426264,0.08080083,0.27796414,0.0
ERR481042,0.12462871,0.3239576,0.10448365,0.25793055,0.18899947,0.0
ERR479475,0.100565605,0.102722965,0.6126747,0.09147509,0.09256167,0.0
ERR480520,0.16769345,0.39542356,0.18208806,0.11280238,0.14199257,0.0
ERR479077,0.07639818,0.20530608,0.39436525,0.12441168,0.19951887,0.0
ERR475527,0.1295528,0.24720216,0.293547,0.0697688,0.25992924,0.0
ERR479503,0.095088094,0.09895231,0.6271037,0.077679135,0.101176806,0.0
ERR479522,0.16621979,0.18492554,0.2139539,0.06716246,0.3677383,0.0
ERR480931,0.069085725,0.20332201,0.43853322,0.09967457,0.18938445,0.0
ERR481053,0.12419322,0.30580568,0.13248304,0.24651253,0.19100554,0.0
ERR480748,0.12176177,0.14509793,0.35431242,0.027199185,0.35162872,0.0
ERR479558,0.11147277,0.123174466,0.30195507,0.0385693,0.42482832,0.0
