,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525725,0.098726645,0.18861455,0.7126588,0.0
ERR525746,0.09792011,0.18887372,0.7132061,0.0
ERR525763,0.09764322,0.18896638,0.71339047,0.0
ERR525815,0.38681683,0.108186916,0.5049962,0.0
ERR525895,0.09764322,0.18896638,0.71339047,0.0
ERR525903,0.77343625,0.14011452,0.08644928,0.0
ERR525948,0.04988161,0.6729545,0.27716392,0.0
ERR526003,0.099159494,0.18851246,0.712328,0.0
ERR526039,0.09764322,0.18896638,0.71339047,0.0
ERR525721,0.06713152,0.7164594,0.094715,0.12169409
ERR525769,0.77343625,0.14011452,0.08644928,0.0
ERR525882,0.0737297,0.5384061,0.38786423,0.0
ERR525887,0.061721593,0.73201996,0.096135855,0.11012256
ERR525926,0.7662082,0.14490612,0.08888572,0.0
ERR525989,0.77021813,0.14321889,0.08656306,0.0
ERR526041,0.2542442,0.63638604,0.047749937,0.06161982
ERR526053,0.055231035,0.735014,0.09851512,0.11123979
ERR525921,0.6244591,0.36442518,0.011115634,0.0
ERR526029,0.05873868,0.7624681,0.15926635,0.01952684
ERR525724,0.07801396,0.6244787,0.1554029,0.14210445
ERR525749,0.5361138,0.44413036,0.019755889,0.0
ERR525774,0.09764322,0.18896638,0.71339047,0.0
ERR525782,0.09764322,0.18896638,0.71339047,0.0
ERR525846,0.13512555,0.67300016,0.06467801,0.12719625
ERR525850,0.6614004,0.16088091,0.17771874,0.0
ERR525888,0.6882824,0.19550185,0.11621577,0.0
ERR525954,0.7595638,0.15242966,0.088006556,0.0
ERR525938,0.2723388,0.373632,0.3540292,0.0
ERR525970,0.71102786,0.24088596,0.048086185,0.0
