,root:Engineered:Food_production,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Birds,root:Host-associated:Fish,root:Host-associated:Human,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
ERR1599096,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598778,0.004847722,0.00021473921,0.0031002434,0.0018655896,0.0026505897,0.94718105,0.038412258,0.0017278676,0.0
ERR1599484,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598947,0.0040874635,0.00021871849,0.0041287825,0.0011775543,0.0046161315,0.9792075,0.0047838194,0.0017799718,0.0
ERR1598719,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598408,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598854,0.0040874053,0.00021868908,0.004128724,0.0011775838,0.004616132,0.97920763,0.0047838497,0.001779972,0.0
ERR1598177,0.0040870877,0.00021874828,0.0041301134,0.0011775268,0.0046151676,0.9792048,0.0047861524,0.0017805045,0.0
ERR1599445,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598303,0.004087464,0.00021871852,0.004128783,0.0011774955,0.004616132,0.97920763,0.00478382,0.001779972,0.0
ERR1598620,0.004087405,0.00021871849,0.0041287234,0.0011775836,0.00461619,0.9792075,0.0047838194,0.0017800307,0.0
ERR1598463,0.00408654,0.00021886661,0.004131891,0.0011773829,0.004613592,0.97920084,0.004789727,0.0017812158,0.0
ERR1599217,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599131,0.004087405,0.00021871849,0.004128812,0.0011775836,0.0046161315,0.9792075,0.0047838194,0.0017800307,0.0
ERR1599136,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599532,0.0044206763,0.00019134406,0.003952743,0.001325545,0.0039168457,0.9752087,0.009117469,0.001866718,0.0
ERR1598459,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599400,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598717,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598625,0.004087405,0.00021868906,0.004128812,0.0011776425,0.0046161315,0.97920746,0.0047838786,0.0017800307,0.0
ERR1598275,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598651,0.0046143983,0.000277998,0.0027935395,0.0020141995,0.0025415602,0.94154733,0.04466675,0.0015441988,0.0
ERR1599373,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598771,0.0040872875,0.00021871852,0.0041288123,0.0011775838,0.004616132,0.9792075,0.004783879,0.0017800309,0.0
ERR1599372,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598993,0.004087349,0.00021868921,0.0041289325,0.0011776433,0.004615899,0.97920686,0.0047845882,0.0017801202,0.0
ERR1598547,0.004087405,0.00021871849,0.004128812,0.0011775836,0.0046161315,0.9792075,0.0047838194,0.0017800307,0.0
ERR1598723,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598319,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598097,0.0040872884,0.000218748,0.0041288426,0.0011775546,0.0046161036,0.97920763,0.004783939,0.0017799725,0.0
ERR1598983,0.0040874053,0.00021868908,0.004128989,0.0011775544,0.004616073,0.9792071,0.0047841733,0.0017800602,0.0
ERR1598974,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599641,0.0040873466,0.00021868908,0.0041288417,0.0011775544,0.0046161027,0.9792074,0.0047840555,0.0017800309,0.0
ERR1598416,0.0040874053,0.00021871852,0.0041288123,0.0011775838,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598441,0.0040874053,0.00021871852,0.0041288123,0.0011775838,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598379,0.0040874053,0.00021871852,0.0041288123,0.0011775838,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599313,0.0040874374,0.00021871866,0.0041289916,0.0011776141,0.004615782,0.9792064,0.00478503,0.0017800615,0.0
ERR1598910,0.004087318,0.00021868917,0.00412899,0.0011775547,0.004615957,0.9792073,0.0047841747,0.0017800609,0.0
ERR1598145,0.0040873466,0.00021871852,0.004128783,0.0011775838,0.004616132,0.9792076,0.004783879,0.001779972,0.0
ERR1598913,0.004087464,0.00021868908,0.004128753,0.0011775544,0.004616132,0.97920763,0.00478382,0.001779972,0.0
ERR1598096,0.0040885857,0.00021854369,0.0041284626,0.001178064,0.0046130493,0.9791966,0.0047961893,0.0017804865,0.0
ERR1599351,0.0041204495,0.00021552414,0.004113709,0.0011909754,0.004541696,0.97892904,0.0050987857,0.0017898041,0.0
ERR1598800,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598982,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598139,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599119,0.0040873173,0.00021874797,0.0041289306,0.0011775545,0.004616074,0.9792074,0.0047840266,0.0017800017,0.0
ERR1599205,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598569,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599286,0.004504591,0.0001832231,0.0039437967,0.0013503741,0.0038028015,0.97407466,0.010243113,0.0018973876,0.0
ERR1598906,0.004087288,0.00021871855,0.004128813,0.0011775839,0.0046161325,0.9792076,0.0047838795,0.001780031,0.0
ERR1599580,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599496,0.004087405,0.00021871849,0.004128812,0.0011775836,0.0046161315,0.9792075,0.0047837608,0.0017800307,0.0
ERR1598549,0.004087405,0.00021871849,0.004128812,0.0011775836,0.00461619,0.9792075,0.0047837608,0.0017800307,0.0
ERR1599185,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598091,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599531,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598108,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598129,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598233,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598627,0.0040872605,0.00021868921,0.0041291974,0.0011775256,0.0046158405,0.9792069,0.0047844998,0.0017801496,0.0
ERR1599608,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598648,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599095,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598902,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599450,0.004890416,0.0001586404,0.0037853196,0.0015204024,0.0032248986,0.96490496,0.019516764,0.0019985728,0.0
ERR1598968,0.004087541,0.00021871946,0.004129625,0.0011777066,0.0046142098,0.97920126,0.0047903447,0.0017805684,0.0
ERR1598284,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599246,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598210,0.0040873475,0.00021868914,0.004128725,0.0011774958,0.0046160743,0.97920763,0.004783998,0.0017800312,0.0
ERR1598979,0.004096283,0.0002179065,0.004125037,0.0011812393,0.004595137,0.97913206,0.004869551,0.0017828072,0.0
ERR1598841,0.0040874057,0.00021874797,0.0041289893,0.0011775545,0.0046159853,0.97920704,0.004784203,0.0017801194,0.0
