,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections:Clostridium Infections,Unknown
SRR5650076,0.08860552,0.6540228,0.06072125,0.19665039
SRR6265329,0.044357657,0.035698652,0.011128426,0.90881526
SRR1687067,0.13621163,0.09623602,0.015273511,0.7522788
SRR6264562,0.044359446,0.035699755,0.011129767,0.90881103
SRR5813185,0.044032007,0.10878375,0.018605053,0.8285792
SRR5202972,0.044490486,0.036216795,0.0111374855,0.9081552
SRR5649070,0.048445523,0.039749444,0.013783962,0.8980211
SRR7507531,0.044454426,0.0364033,0.011165619,0.9079766
SRR6265219,0.044357628,0.035698652,0.011128366,0.9088154
SRR5202933,0.044422388,0.035736203,0.011171967,0.9086695
SRR5091485,0.04559961,0.04062739,0.011792392,0.90198064
ERR720197,0.0445005,0.035781235,0.01122418,0.9084941
ERR209427,0.04436481,0.03572309,0.011145741,0.9087664
SRR5078601,0.044353515,0.035706222,0.011130363,0.9088099
SRR5813274,0.044348568,0.036145,0.011438251,0.9080682
ERR719000,0.044740856,0.035948217,0.011305511,0.9080054
ERR209880,0.08952099,0.66638446,0.059299618,0.1847949
SRR5629106,0.04472187,0.03635478,0.011652052,0.90727127
ERR526014,0.04363495,0.03723079,0.0115202665,0.907614
SRR5399367,0.044357657,0.035698652,0.011128426,0.90881526
SRR1763557,0.15674183,0.2326617,0.01748693,0.59310955
SRR6474259,0.040991932,0.120542735,0.02047968,0.81798565
SRR6264858,0.033873767,0.087961555,0.060546994,0.81761765
SRR6264264,0.044812888,0.036138743,0.011539131,0.9075092
SRR5934944,0.05308467,0.044721723,0.012684792,0.88950884
SRR5429315,0.046049654,0.037133455,0.011371434,0.90544546
ERR321249,0.033629358,0.18133691,0.038678765,0.74635494
SRR6182332,0.04435852,0.03569925,0.011129081,0.9088131
SRR5343106,0.044380665,0.035712034,0.011143804,0.9087635
SRR5079117,0.0442293,0.03596574,0.01125443,0.9085505
ERR1823594,0.029361784,0.20769241,0.034759045,0.7281867
ERR719559,0.044500858,0.035813034,0.01119563,0.9084905
SRR5802258,0.04420474,0.03600675,0.01120472,0.90858376
SRR5648786,0.044392675,0.035790116,0.011170536,0.9086467
ERR209095,0.044344813,0.035755813,0.011137754,0.9087616
SRR5802268,0.05508417,0.16380373,0.0142323375,0.7668798
SRR7507497,0.045543224,0.039776206,0.011637896,0.9030427
SRR1009071,0.092742205,0.66853,0.059808522,0.17891932
SRR5078860,0.044357568,0.035698652,0.011128396,0.9088154
SRR6265085,0.044357568,0.035698652,0.011128396,0.9088154
ERR720148,0.044181347,0.038704902,0.011525273,0.9055885
SRR5761732,0.04659173,0.03772965,0.013931364,0.9017472
SRR5078588,0.07885352,0.4610108,0.03888306,0.4212526
SRR5650145,0.06983739,0.59846467,0.054177195,0.27752078
SRR6265034,0.044498324,0.0358997,0.011186779,0.9084152
SRR5983426,0.028962076,0.15482879,0.051422715,0.7647864
ERR525691,0.04435748,0.035698682,0.011128366,0.9088155
SRR1927149,0.044453412,0.03575629,0.011199027,0.9085913
SRR5549036,0.09523708,0.6790731,0.061231226,0.16445863
SRR5757970,0.05932641,0.17063752,0.651221,0.118815064
ERR209314,0.04628685,0.03766936,0.011382461,0.9046613
SRR5580493,0.035392404,0.09380689,0.024596214,0.8462045
SRR5813332,0.04453942,0.035828054,0.011198074,0.90843445
SRR5813178,0.037825197,0.055304736,0.016389728,0.89048034
ERR209182,0.045168012,0.037566066,0.011697531,0.90556836
SRR6182292,0.04435906,0.035702467,0.011129111,0.90880936
ERR719498,0.046906292,0.058095604,0.013311207,0.8816869
SRR5757899,0.08788671,0.17978352,0.7323298,0.0
ERR209088,0.04484892,0.035994887,0.011458337,0.90769786
SRR5761737,0.044357568,0.035698652,0.011128396,0.9088154
SRR6331061,0.044858873,0.035979927,0.011203051,0.90795815
ERR720095,0.044953495,0.036320597,0.011338651,0.90738726
SRR5399246,0.044388443,0.03572595,0.011163324,0.9087223
SRR5079127,0.044148326,0.03608802,0.0112299025,0.90853375
SRR5650170,0.09273136,0.67465883,0.06009209,0.17251772
ERR209217,0.04438281,0.036206782,0.011356533,0.9080539
SRR5601927,0.06900114,0.20309275,0.02583307,0.70207304
SRR6330878,0.04508829,0.03621784,0.011530846,0.907163
SRR5578945,0.031103104,0.3631658,0.037665725,0.5680654
SRR5651446,0.043440223,0.052184373,0.014072269,0.89030313
SRR6724436,0.044489175,0.03784901,0.01139313,0.9062687
SRR5396522,0.04648894,0.03836876,0.012422472,0.90271986
SRR5648881,0.050361723,0.043003082,0.019950181,0.886685
SRR6474222,0.044486374,0.036047816,0.011261284,0.90820456
SRR5365467,0.043575436,0.073459506,0.13947684,0.7434882
SRR6724452,0.055307746,0.34627074,0.031100482,0.56732106
SRR5761676,0.04435718,0.035699368,0.011128604,0.90881485
SRR5813438,0.046866685,0.03985688,0.011418074,0.9018583
SRR1765944,0.05006987,0.039322287,0.012157828,0.89845
SRR5761748,0.06554857,0.17667687,0.6601215,0.09765303
SRR7464960,0.044357568,0.035698652,0.011128396,0.9088154
SRR5651440,0.040969074,0.06474307,0.014901638,0.8793862
SRR6265458,0.13758606,0.09403518,0.015273541,0.7531052
SRR6724583,0.044357657,0.035698652,0.011128396,0.90881526
SRR7507569,0.045686066,0.037110507,0.0119152665,0.90528816
SRR6474269,0.043851435,0.04461384,0.012891352,0.8986434
ERR719075,0.044359267,0.035750747,0.011147141,0.90874285
SRR7507396,0.04437527,0.03573194,0.011129916,0.9087629
SRR5343099,0.044359088,0.035699487,0.011128813,0.90881264
ERR011271,0.034956038,0.06725162,0.021253109,0.87653923
ERR719671,0.04436004,0.035704345,0.011128813,0.9088068
SRR5802350,0.045889586,0.049861193,0.011825293,0.8924239
SRR5602035,0.055813074,0.4193339,0.0550344,0.4698186
ERR1809133,0.045588493,0.036694825,0.011889905,0.9058268
ERR525889,0.044819504,0.036069095,0.011501133,0.9076103
SRR5020881,0.045777917,0.037261933,0.011939228,0.90502095
SRR5203283,0.045026362,0.036162525,0.011638641,0.90717244
SRR5813354,0.044355482,0.03570357,0.011129737,0.9088112
