,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
SRR5549015,0.816329,0.022888929,0.017736554,0.08462715,0.058418393
SRR5637801,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR7507716,0.02615267,0.014866531,0.02150625,0.007227421,0.9302471
SRR5343210,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR719771,0.028373688,0.014906824,0.02153325,0.0074002743,0.927786
SRR5218306,0.025838822,0.014660388,0.021337897,0.0072407722,0.93092215
ERR209325,0.025832921,0.014653593,0.02133128,0.007240832,0.93094134
SRR5903340,0.025833756,0.014655352,0.021334559,0.0072416067,0.9309347
SRR5649178,0.025838524,0.014653772,0.021330595,0.007240534,0.9309366
SRR5549065,0.81623024,0.022882402,0.01773876,0.08464363,0.05850494
SRR5091498,0.036115557,0.017081827,0.017385423,0.009004444,0.9204128
SRR5711584,0.38626075,0.4407624,0.04684323,0.01261133,0.11352229
SRR6182346,0.026460737,0.015263647,0.021779329,0.007171452,0.92932487
SRR6876225,0.8161722,0.022875637,0.017739952,0.08466369,0.05854857
ERR719274,0.039005697,0.018585116,0.018044949,0.007883728,0.91648054
SRR7008052,0.028955877,0.014804453,0.022814095,0.0077961385,0.92562944
SRR5399179,0.014955312,0.026162565,0.24497369,0.20663947,0.50726897
SRR5203286,0.025827646,0.014647633,0.021325946,0.007241249,0.93095756
SRR5580531,0.026066959,0.0148946345,0.021519154,0.0072158277,0.93030345
SRR7507320,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5602078,0.025827616,0.014647573,0.021325767,0.0072411597,0.9309579
SRR6331219,0.02582705,0.014647037,0.02132541,0.0072412193,0.9309593
SRR5761660,0.029208064,0.017456561,0.023317784,0.0070155263,0.92300206
SRR5580595,0.02880752,0.015505642,0.02094677,0.0074468553,0.9272932
SRR5079039,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR6724417,0.025835603,0.014643371,0.021332562,0.007243991,0.93094444
SRR5813348,0.03411925,0.015417129,0.021771431,0.007758558,0.9209336
SRR1763577,0.7201293,0.021619976,0.017946154,0.07418609,0.1661185
SRR5983330,0.7149265,0.023305774,0.01731348,0.062886536,0.18156773
SRR5602285,0.034600616,0.011969298,0.030041426,0.010466576,0.9129221
