,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
SRR5650076,0.5900441,0.09786582,0.024929881,0.28716022
SRR6265329,0.0904848,0.013817668,0.00909704,0.8866005
SRR1687067,0.5309497,0.058894068,0.013256282,0.39689994
SRR6264562,0.0904848,0.013817668,0.00909704,0.8866005
SRR5813185,0.1190249,0.016685665,0.009647369,0.85464203
SRR5202972,0.57695645,0.068244755,0.013456881,0.3413419
SRR5649070,0.091258705,0.01405111,0.0099826455,0.88470757
SRR7507531,0.09050089,0.013821512,0.009101063,0.88657653
SRR6265219,0.0904848,0.013817668,0.00909704,0.8866005
SRR5202933,0.0904848,0.013817668,0.009097159,0.8866004
SRR5091485,0.09199956,0.014089942,0.00938648,0.884524
ERR720197,0.0904848,0.013817668,0.009097099,0.88660043
ERR209427,0.090485275,0.013817787,0.009097517,0.8865994
SRR5078601,0.0904848,0.013817668,0.00909704,0.8866005
SRR5813274,0.09051353,0.0138249695,0.009109348,0.88655216
ERR719000,0.090539396,0.013829917,0.00909999,0.8865307
ERR209880,0.57401717,0.06724283,0.0134703815,0.34526956
SRR5629106,0.090654194,0.013859659,0.009168357,0.8863178
ERR526014,0.09073016,0.013912529,0.010316074,0.88504124
SRR5399367,0.0904848,0.013817668,0.00909704,0.8866005
SRR1763557,0.5763773,0.068222314,0.013456464,0.34194398
SRR6474259,0.11002144,0.015964895,0.0096001625,0.8644135
SRR6264858,0.091605514,0.017662495,0.08148152,0.8092505
SRR6264264,0.090510875,0.013833821,0.009231895,0.8864234
SRR5934944,0.09587631,0.014840245,0.0102286935,0.8790548
SRR5429315,0.07088986,0.60913223,0.1860019,0.13397598
ERR321249,0.15694755,0.018792361,0.025171489,0.7990886
SRR6182332,0.0904848,0.013817668,0.00909704,0.8866005
SRR5343106,0.0904848,0.013817668,0.00909704,0.8866005
SRR5079117,0.09048477,0.013817698,0.009097487,0.8866
ERR1823594,0.09133321,0.013974696,0.009220988,0.8854711
ERR719559,0.09052035,0.013825834,0.009101778,0.88655204
SRR5802258,0.089101434,0.0149869025,0.06435102,0.8315606
SRR5648786,0.09054327,0.01383245,0.009121925,0.8865024
ERR209095,0.09048471,0.013818085,0.009102821,0.8865944
SRR5802268,0.15953848,0.016561061,0.010388732,0.8135117
SRR7507497,0.09317431,0.014327973,0.0092718005,0.8832259
SRR1009071,0.46134275,0.063723326,0.013327688,0.46160626
SRR5078860,0.0904848,0.013817668,0.00909704,0.8866005
SRR6265085,0.0904848,0.013817668,0.00909704,0.8866005
ERR720148,0.09103337,0.013932258,0.009110272,0.8859241
SRR5761732,0.090477765,0.013824075,0.009198427,0.88649976
SRR5078588,0.48771912,0.046610624,0.01349327,0.45217693
SRR5650145,0.55273414,0.061418653,0.013423264,0.37242395
SRR6265034,0.09297538,0.014319032,0.009238362,0.8834672
SRR5983426,0.096957535,0.015000224,0.020495921,0.8675463
ERR525691,0.09048414,0.013818204,0.00910604,0.8865916
SRR1927149,0.0904848,0.013817638,0.009097248,0.8866003
SRR5549036,0.5770058,0.06825173,0.013457328,0.3412851
SRR5757970,0.05992356,0.1372248,0.65879434,0.14405727
ERR209314,0.09258351,0.01425457,0.0091558695,0.884006
SRR5580493,0.1349979,0.01857841,0.049213856,0.79720986
SRR5813332,0.09055272,0.013832748,0.009097993,0.8865166
SRR5813178,0.09084028,0.0138885975,0.009187967,0.8860831
ERR209182,0.09142634,0.014025867,0.009243965,0.88530385
SRR6182292,0.090485364,0.013817996,0.009099811,0.8865968
ERR719498,0.10070878,0.015430599,0.009324044,0.8745366
SRR5757899,0.058408216,0.20699514,0.73459667,0.0
ERR209088,0.090485126,0.013817757,0.009097725,0.8865994
SRR5761737,0.0904848,0.013817668,0.00909704,0.8866005
SRR6331061,0.09049007,0.01381886,0.009098053,0.886593
ERR720095,0.09104425,0.013943344,0.009179562,0.88583285
SRR5399246,0.09048477,0.013817698,0.009097874,0.88659966
SRR5079127,0.0904848,0.013817668,0.009097099,0.88660043
SRR5650170,0.57705015,0.06827122,0.013462752,0.34121585
ERR209217,0.09069836,0.013867557,0.009148866,0.8862852
SRR5601927,0.38377184,0.03077966,0.0216299,0.5638186
SRR6330878,0.09054327,0.013831317,0.009106338,0.8865191
SRR5578945,0.097372025,0.014129132,0.009268194,0.8792306
SRR5651446,0.092279404,0.014153868,0.009464383,0.88410234
SRR6724436,0.57718205,0.06834808,0.013479948,0.34098995
SRR5396522,0.091736406,0.014151573,0.010184407,0.8839276
SRR5648881,0.09060013,0.014114171,0.012576073,0.8827096
SRR6474222,0.0907315,0.013872355,0.009106904,0.88628924
SRR5365467,0.089767426,0.015738666,0.07238373,0.8221102
SRR6724452,0.5775343,0.06973863,0.013846934,0.33888012
SRR5761676,0.0904848,0.013817668,0.00909704,0.8866005
SRR5813438,0.09118092,0.013942987,0.009127557,0.8857485
SRR1765944,0.09144008,0.014040798,0.009481311,0.8850378
SRR5761748,0.06822124,0.18986171,0.7419171,0.0
SRR7464960,0.19257113,0.04314047,0.009394199,0.7548942
SRR5651440,0.09138274,0.013983369,0.009128243,0.8855057
SRR6265458,0.5748899,0.06799954,0.013446987,0.34366357
SRR6724583,0.57700545,0.06825167,0.013457328,0.3412856
SRR7507569,0.09101024,0.013967842,0.009632766,0.88538915
SRR6474269,0.091884226,0.0140936375,0.009444386,0.88457775
ERR719075,0.090480655,0.013830245,0.0092713535,0.88641775
SRR7507396,0.090554774,0.013833106,0.009097666,0.8865144
SRR5343099,0.09048489,0.013817638,0.00909704,0.88660043
ERR011271,0.4918069,0.057037503,0.02899146,0.42216414
ERR719671,0.09050116,0.013821274,0.009097129,0.88658047
SRR5802350,0.09047726,0.013824463,0.009206742,0.88649154
SRR5602035,0.38318363,0.036953837,0.04603651,0.533826
ERR1809133,0.0906249,0.013857394,0.009216845,0.88630086
ERR525889,0.090486586,0.013819009,0.009108782,0.8865856
SRR5020881,0.09101802,0.013937354,0.009140432,0.8859042
SRR5203283,0.090488106,0.013819009,0.00910455,0.88658834
SRR5813354,0.09048605,0.013817966,0.009097129,0.8865988
SRR6474243,0.2724955,0.026212335,0.012149066,0.68914306
SRR5761720,0.0899947,0.014219403,0.018335491,0.8774504
SRR6928813,0.09048936,0.01381883,0.009099066,0.88659275
SRR2142208,0.5317588,0.058938384,0.01711765,0.3921852
SRR5399194,0.0904848,0.013817668,0.00909704,0.8866005
SRR5803624,0.09048492,0.013818055,0.009102166,0.8865949
SRR5947870,0.57640773,0.06806919,0.013476312,0.3420468
ERR719031,0.1133953,0.016142428,0.010638386,0.8598239
SRR5813179,0.09156439,0.013998598,0.009184718,0.8852523
ERR720017,0.09056091,0.013834983,0.009103984,0.8865001
SRR5650162,0.57603526,0.067915946,0.013456345,0.34259248
SRR6251516,0.09050587,0.013824135,0.009122342,0.8865477
SRR6265039,0.0904848,0.013817668,0.00909704,0.8866005
SRR5548643,0.57717097,0.068277985,0.013459593,0.3410915
ERR719864,0.09051496,0.013824493,0.009099811,0.88656074
