,root:Engineered:Food_production,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Birds,root:Host-associated:Fish,root:Host-associated:Human,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
ERZ1027145,6.614697e-05,2.4551362e-05,6.0061047e-05,8.1675076e-05,0.0002798736,0.9980456,0.0012372732,0.00018498302,1.9788742e-05
ERZ654490,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674916e-05,0.0002799332,0.99804556,0.0012371242,0.00018498302,1.9967556e-05
ERZ654291,5.7456768e-05,2.9048251e-05,7.305913e-05,7.951919e-05,0.00026533008,0.99756014,0.0014134943,0.00023499131,0.00028693676
ERZ654162,6.620484e-05,2.4533714e-05,6.020367e-05,8.181228e-05,0.00028014183,0.9980445,0.0012363791,0.00018501282,2.1159649e-05
ERZ653076,2.5889627e-05,1.8003428e-05,0.00040808218,0.0042679943,0.00046205055,0.9104806,0.08408256,0.00025476163,0.0
ERZ653299,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674916e-05,0.0002799332,0.99804556,0.0012371242,0.00018498302,1.9967556e-05
ERZ1027077,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674916e-05,0.0002799332,0.99804556,0.0012371242,0.00018498302,1.9967556e-05
ERZ654483,6.61553e-05,2.4550753e-05,6.0156493e-05,8.17714e-05,0.0002797842,0.99804497,0.0012376606,0.00018498302,1.9967556e-05
ERZ654202,6.644051e-05,2.3659839e-05,6.060923e-05,8.618318e-05,0.000297606,0.9979805,0.001276046,0.00018021464,2.8789043e-05
ERZ653640,6.615675e-05,2.4549021e-05,6.009468e-05,8.171177e-05,0.000279814,0.9980455,0.0012372434,0.00018501282,1.9907951e-05
ERZ654323,6.620434e-05,2.4534533e-05,6.0258928e-05,8.1885024e-05,0.0002798736,0.99804485,0.0012372136,0.0001848638,2.0325184e-05
ERZ1027102,6.606747e-05,2.4567686e-05,6.0266055e-05,8.1704835e-05,0.00027999282,0.9980407,0.0012380183,0.00018531084,2.336502e-05
ERZ652809,6.614703e-05,2.4551315e-05,6.0060764e-05,8.1674996e-05,0.0002798736,0.99804556,0.0012371242,0.00018498302,2.002716e-05
ERZ653604,6.614716e-05,2.4551315e-05,6.006082e-05,8.1675076e-05,0.0002798736,0.9980456,0.0012372732,0.00018498302,1.9788742e-05
ERZ654484,6.616804e-05,2.454441e-05,6.018243e-05,8.180767e-05,0.0002797544,0.9980453,0.0012374818,0.00018501282,1.9669533e-05
ERZ653848,6.6160406e-05,2.4543637e-05,6.0089867e-05,8.1695325e-05,0.00028002262,0.99804544,0.0012369156,0.00018498302,2.014637e-05
ERZ653925,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674916e-05,0.0002799332,0.99804556,0.0012371242,0.00018498302,1.9967556e-05
ERZ653025,6.6160406e-05,2.4543637e-05,6.0089867e-05,8.1695325e-05,0.00028002262,0.99804544,0.0012369156,0.00018498302,2.014637e-05
ERZ654201,6.606785e-05,2.4624875e-05,6.0729748e-05,8.2180435e-05,0.00027900934,0.9980341,0.0012419224,0.00018596649,2.5391579e-05
ERZ653402,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674916e-05,0.0002799332,0.99804556,0.0012371242,0.00018498302,1.9967556e-05
ERZ654054,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674916e-05,0.0002799332,0.99804556,0.0012371242,0.00018498302,1.9967556e-05
ERZ653532,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674916e-05,0.0002799332,0.99804556,0.0012371242,0.00018498302,1.9967556e-05
ERZ652835,6.58845e-05,2.4902982e-05,6.0318034e-05,8.145222e-05,0.00027999282,0.9980135,0.0012383759,0.00018882751,4.673004e-05
ERZ654230,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674916e-05,0.0002799332,0.99804556,0.0012371242,0.00018498302,1.9967556e-05
ERZ653302,6.623553e-05,2.4537154e-05,6.021274e-05,8.183553e-05,0.000279665,0.99804544,0.0012374818,0.00018489361,1.9669533e-05
ERZ653956,6.611165e-05,2.4568975e-05,6.013034e-05,8.169393e-05,0.0002796948,0.9980438,0.0012381673,0.00018519163,2.0682812e-05
